Adjective,Subject,mu,sigma
tall,4,-1.24538505,1.787469845125
tall,7,-0.6823725059513125,1.2376602889375
tall,15,-0.485604487042625,0.7948536190875
tall,34,-0.57077180045,0.35180605023125
tall,56,-0.75611804278750006,0.49269799223125
tall,75,1.299658939575,0.549963346839375
tall,79,-1.03710387384,2.2491114218125
tall,88,-1.524543371,1.49466497175
tall,107,-0.54941464003375,0.5001601005375
tall,112,-0.714988295320625,0.927428428875
tall,122,-1.2202713390625,1.64424011975
tall,142,-1.872038954375,1.0272714832
tall,145,-0.38738826617028127,0.75099419743125
tall,177,-0.94292519850625,1.074484622
tall,178,-1.6228580104375,1.55916987025
tall,183,-0.02257569375694125,0.71106815835625
tall,207,-0.953870849209375,1.3087966903125
tall,213,-0.83933992606875,1.109532930375
tall,235,-0.442731452696875,0.434531767775
tall,262,-0.69384834094375,0.44288086468125
tall,269,-1.258093401,1.45640713675
tall,270,-0.6428594206285625,1.2777021398125
tall,280,-0.70884641901875,1.1916717175625
tall,312,-0.5216470490846875,1.13368781938125
tall,314,-0.648023368706875,1.1505736239375
tall,317,-0.0053672789174843746,0.5341154519375
tall,318,-1.5236961501875,2.1732791939375
tall,322,0.688126496875,0.18957509263125
tall,323,-0.568948977751875,0.3521648713625
tall,327,-0.59878163307875,1.0143243719375
tall,339,-0.68429458007375,0.674799586925
tall,344,-0.43151799887189374,0.38323682493125
tall,347,-0.743949081075,1.181283398375
tall,376,0.413440485126875,0.36105294618125
powerful,1,-0.24034884809363125,0.7176713230375
powerful,27,-0.4712578358025,1.202015309125
powerful,28,-0.40041760015625,0.684956506125
powerful,40,-0.662050195625,0.38376932789375
powerful,46,-0.093198121568775,0.72355433208125
powerful,50,-0.644192384375,0.8731031228125
powerful,63,-0.19195412853584376,0.32503899174375
powerful,69,-0.31244412761525,0.337565301125
powerful,75,-0.458203943625,0.682767236375
powerful,76,-0.48919595290625,0.36949732536875
powerful,99,-0.6050335873125,0.1618503028675
powerful,100,-0.7325884948125,0.10166086982
powerful,129,-0.4045652605275,0.8295922786875
powerful,135,-1.009198319,0.884049658875
powerful,137,-0.5934151150625,0.6119880225625
powerful,164,-0.18312172380171876,0.32081772364375
powerful,172,-0.5344071496875,0.3675172093625
powerful,188,-0.5052178566,0.7678285140625
powerful,200,0.07866242709473875,0.55490290431875
powerful,212,-0.6084859914375,0.1799383351125
powerful,234,-0.3844875189375,0.28507294935
powerful,243,-0.1753878624085125,0.3136503440625
powerful,244,-0.586906666,0.15085373353375
powerful,253,-0.758794129375,0.3435173175
powerful,262,-0.6824732494375,0.2582081147625
powerful,273,-0.581819047625,0.445712359975
powerful,276,-0.5937418074375,0.5828226723125
powerful,346,-0.5159543015125,1.0669255051875
powerful,383,-0.189435512311625,0.9059513519375
young,11,-1.174287090375,1.4041593366875
young,16,0.16742908300601875,0.6157325708125
young,19,0.2598952161277525,1.043999259
young,21,0.436723947245625,0.941853839
young,39,0.470757437949375,0.795087030375
young,45,0.25243317337314936,1.6179879248125
young,64,-0.24405183026988125,1.1029388278125
young,75,0.0604084028775125,1.4117042828125
young,85,1.0347366364125,1.4435880799375
young,93,-0.21131011688835624,1.105696632875
young,98,0.2360939752600125,0.603662693375
young,122,-0.06783812717809624,1.282316201375
young,124,0.5938984022225,0.9501056985625
young,152,0.4960232724409375,1.376130250375
young,162,0.35229649375225,0.5780276004625
young,170,-0.475176161198125,1.0963023995625
young,185,-0.578460598029,1.10897310625
